iter	RMSE
0	2890.138305
1	2868.127244
2	2850.351881
3	2835.04964
4	2814.636401
5	2799.671945
6	2777.991773
7	2759.333071
8	2743.14059
9	2721.932893
10	2704.03505
11	2683.444389
12	2661.911105
13	2642.320301
14	2628.162507
15	2614.40471
16	2591.313556
17	2570.933789
18	2557.540379
19	2537.656672
20	2524.586448
21	2512.841736
22	2493.637465
23	2482.561607
24	2464.938338
25	2452.119232
26	2438.076894
27	2423.937136
28	2411.737549
29	2398.935532
30	2380.802917
31	2368.476033
32	2350.300152
33	2332.29435
34	2320.258927
35	2302.972989
36	2286.759795
37	2276.246622
38	2260.991396
39	2248.68452
40	2230.296528
41	2219.19585
42	2206.021843
43	2192.484292
44	2181.236169
45	2170.510189
46	2159.540414
47	2147.008534
48	2130.859675
49	2115.211875
50	2105.293269
51	2093.959459
52	2079.47489
53	2062.697551
54	2048.827931
55	2036.861327
56	2025.628361
57	2013.915118
58	2000.449093
59	1990.050214
60	1976.962388
61	1962.851357
62	1954.09801
63	1943.898591
64	1928.612211
65	1918.847795
66	1908.217931
67	1898.116758
68	1883.49397
69	1873.537416
70	1857.66028
71	1844.791685
72	1831.385153
73	1819.046289
74	1806.944902
75	1790.672465
76	1782.474456
77	1769.809606
78	1762.088232
79	1748.773966
80	1737.86646
81	1724.522342
82	1717.097261
83	1706.00587
84	1693.694357
85	1684.576427
86	1676.00992
87	1664.177679
88	1656.572148
89	1644.326572
90	1632.498536
91	1621.967755
92	1615.017978
93	1604.654357
94	1594.405279
95	1583.359078
96	1575.032728
97	1564.52707
98	1554.955984
99	1543.74127
100	1532.997879
101	1521.252557
102	1513.369612
103	1503.809345
104	1491.568542
105	1480.829511
106	1472.722482
107	1461.118925
108	1453.766717
109	1445.124923
110	1434.841275
111	1427.638067
112	1415.373148
113	1405.61796
114	1395.579461
115	1386.855745
116	1379.876983
117	1370.374259
118	1360.848661
119	1352.110956
120	1342.120031
121	1335.510834
122	1329.474734
123	1322.787387
124	1316.133823
125	1306.204863
126	1298.173673
127	1291.524255
128	1283.303758
129	1274.34508
130	1267.898129
131	1261.358122
132	1254.610798
133	1245.981522
134	1238.183592
135	1231.926405
136	1223.333001
137	1216.667503
138	1208.280594
139	1202.548953
140	1192.855491
141	1185.48064
142	1178.455574
143	1172.456619
144	1164.028551
145	1157.901184
146	1152.555849
147	1145.735058
148	1139.979281
149	1134.151287
150	1128.459685
151	1121.363522
152	1113.662542
153	1108.934632
154	1101.231012
155	1093.71705
156	1086.428804
157	1080.836307
